times,stop_id1,longitude1,latitude1,stop_id2,longitude2,latitude2
15,U101006,304828.42582645384,2768577.930783876,U101209,304653.2629303035,2768213.9131795364
1,U101006,304828.42582645384,2768577.930783876,U119045,303898.4734739493,2767920.707275566
5,U101006,304828.42582645384,2768577.930783876,U119049,304400.6621605508,2768031.2477738545
3,U101006,304828.42582645384,2768577.930783876,U119050,304257.745746599,2767929.8819174194
7,U101006,304828.42582645384,2768577.930783876,U119052,304559.4712443352,2767943.2669394603
2,U101006,304828.42582645384,2768577.930783876,U119054,304539.92383030953,2768036.233267107
1,U101006,304828.42582645384,2768577.930783876,U119055,304081.35434119095,2767870.4766107467
1,U101006,304828.42582645384,2768577.930783876,U119064,304902.0743870699,2767830.5482248515
29,U101006,304828.42582645384,2768577.930783876,U119067,304645.4013813154,2768160.7135526733
12,U101006,304828.42582645384,2768577.930783876,U119068,304675.97157807957,2768087.729499767
7,U101006,304828.42582645384,2768577.930783876,U119071,304491.0594642331,2768141.2671251013
1,U101006,304828.42582645384,2768577.930783876,U119072,304366.593607451,2767969.0827363613
4,U101006,304828.42582645384,2768577.930783876,U119075,304495.30130300473,2767836.6746926173
4,U101006,304828.42582645384,2768577.930783876,U119076,304696.4449396659,2768015.8127894
1,U101006,304828.42582645384,2768577.930783876,U119083,304344.041751931,2768056.4990195655
4,U101006,304828.42582645384,2768577.930783876,U119084,304807.5625565405,2767991.8890027944
4,U101006,304828.42582645384,2768577.930783876,U119085,304749.2153849521,2767944.0253971517
2,U101006,304828.42582645384,2768577.930783876,U119087,304531.9491991297,2767758.1762209553
14,U101006,304828.42582645384,2768577.930783876,U119088,304849.52992343716,2768097.286044661
2,U101006,304828.42582645384,2768577.930783876,U119089,304744.46169487643,2767870.900099199
1,U101007,304827.18925120105,2768382.9756237227,U101010,303854.83456431865,2767981.457124649
38,U101007,304827.18925120105,2768382.9756237227,U101013,304831.9562169339,2768704.2195321564
1,U101007,304827.18925120105,2768382.9756237227,U101022,303934.30927015166,2767535.379785875
1,U101007,304827.18925120105,2768382.9756237227,U101033,305025.60845183476,2767731.3544056807
15,U101007,304827.18925120105,2768382.9756237227,U101036,305000.7550048541,2768138.8774073054
36,U101007,304827.18925120105,2768382.9756237227,U101037,304934.95705389883,2768187.350405404
202,U101007,304827.18925120105,2768382.9756237227,U101038,304785.47565774847,2768214.4423564468
34,U101007,304827.18925120105,2768382.9756237227,U101039,304580.5831346477,2768216.945838149
3,U101007,304827.18925120105,2768382.9756237227,U101042,304975.8725117133,2767800.9376219264
1,U101007,304827.18925120105,2768382.9756237227,U101092,305209.08166401193,2768286.0405381876
85,U101007,304827.18925120105,2768382.9756237227,U101093,304909.3092171517,2768265.7812737348
34,U101007,304827.18925120105,2768382.9756237227,U101166,304960.45692086767,2768622.767883643
1,U101007,304827.18925120105,2768382.9756237227,U101181,303869.45185604505,2767601.5842635278
41,U101007,304827.18925120105,2768382.9756237227,U101190,304606.75791882776,2768486.214418667
12,U101007,304827.18925120105,2768382.9756237227,U101191,305065.24971735774,2768163.505791441
83,U101007,304827.18925120105,2768382.9756237227,U101209,304653.2629303035,2768213.9131795364
1,U101007,304827.18925120105,2768382.9756237227,U119045,303898.4734739493,2767920.707275566
2,U101007,304827.18925120105,2768382.9756237227,U119047,304342.8992766746,2767836.0681499476
23,U101007,304827.18925120105,2768382.9756237227,U119049,304400.6621605508,2768031.2477738545
12,U101007,304827.18925120105,2768382.9756237227,U119050,304257.745746599,2767929.8819174194
25,U101007,304827.18925120105,2768382.9756237227,U119052,304559.4712443352,2767943.2669394603
20,U101007,304827.18925120105,2768382.9756237227,U119054,304539.92383030953,2768036.233267107
5,U101007,304827.18925120105,2768382.9756237227,U119055,304081.35434119095,2767870.4766107467
1,U101007,304827.18925120105,2768382.9756237227,U119058,304078.516526145,2768077.59959358
7,U101007,304827.18925120105,2768382.9756237227,U119064,304902.0743870699,2767830.5482248515
1,U101007,304827.18925120105,2768382.9756237227,U119065,304070.6639647796,2767766.313414839
130,U101007,304827.18925120105,2768382.9756237227,U119067,304645.4013813154,2768160.7135526733
62,U101007,304827.18925120105,2768382.9756237227,U119068,304675.97157807957,2768087.729499767
23,U101007,304827.18925120105,2768382.9756237227,U119071,304491.0594642331,2768141.2671251013
3,U101007,304827.18925120105,2768382.9756237227,U119072,304366.593607451,2767969.0827363613
10,U101007,304827.18925120105,2768382.9756237227,U119075,304495.30130300473,2767836.6746926173
16,U101007,304827.18925120105,2768382.9756237227,U119076,304696.4449396659,2768015.8127894
2,U101007,304827.18925120105,2768382.9756237227,U119077,304096.06848404446,2767977.9787600175
1,U101007,304827.18925120105,2768382.9756237227,U119078,304387.5589369512,2767773.1085310616
1,U101007,304827.18925120105,2768382.9756237227,U119079,303950.5628750776,2767764.7313586273
12,U101007,304827.18925120105,2768382.9756237227,U119083,304344.041751931,2768056.4990195655
20,U101007,304827.18925120105,2768382.9756237227,U119084,304807.5625565405,2767991.8890027944
16,U101007,304827.18925120105,2768382.9756237227,U119085,304749.2153849521,2767944.0253971517
3,U101007,304827.18925120105,2768382.9756237227,U119086,304427.48961921706,2767884.03441135
2,U101007,304827.18925120105,2768382.9756237227,U119087,304531.9491991297,2767758.1762209553
65,U101007,304827.18925120105,2768382.9756237227,U119088,304849.52992343716,2768097.286044661
8,U101007,304827.18925120105,2768382.9756237227,U119089,304744.46169487643,2767870.900099199
2,U101007,304827.18925120105,2768382.9756237227,U119091,304973.457593252,2767899.510632437
248,U101008,303900.3091781024,2768223.1082494343,U101009,303877.6899384621,2768072.376047655
74,U101008,303900.3091781024,2768223.1082494343,U101010,303854.83456431865,2767981.457124649
3,U101008,303900.3091781024,2768223.1082494343,U101014,303695.12999886007,2767784.7716361065
157,U101008,303900.3091781024,2768223.1082494343,U101020,303802.49420281,2768201.6772384467
1,U101008,303900.3091781024,2768223.1082494343,U101021,304046.8063142145,2767418.4110351936
1,U101008,303900.3091781024,2768223.1082494343,U101022,303934.30927015166,2767535.379785875
25,U101008,303900.3091781024,2768223.1082494343,U101040,304120.86262069363,2768343.6079418934
194,U101008,303900.3091781024,2768223.1082494343,U101041,303967.4658199644,2768340.786180201
24,U101008,303900.3091781024,2768223.1082494343,U101094,303655.7172019829,2768311.8673206996
1,U101008,303900.3091781024,2768223.1082494343,U101181,303869.45185604505,2767601.5842635278
18,U101008,303900.3091781024,2768223.1082494343,U101184,303828.23826356273,2767815.2020408446
98,U101008,303900.3091781024,2768223.1082494343,U101185,303902.66000249493,2768394.8063203176
8,U101008,303900.3091781024,2768223.1082494343,U101216,304102.48575776024,2768396.703368487
25,U101008,303900.3091781024,2768223.1082494343,U119045,303898.4734739493,2767920.707275566
5,U101008,303900.3091781024,2768223.1082494343,U119049,304400.6621605508,2768031.2477738545
5,U101008,303900.3091781024,2768223.1082494343,U119050,304257.745746599,2767929.8819174194
1,U101008,303900.3091781024,2768223.1082494343,U119052,304559.4712443352,2767943.2669394603
20,U101008,303900.3091781024,2768223.1082494343,U119053,304279.8069850875,2768220.17903347
5,U101008,303900.3091781024,2768223.1082494343,U119055,304081.35434119095,2767870.4766107467
31,U101008,303900.3091781024,2768223.1082494343,U119058,304078.516526145,2768077.59959358
47,U101008,303900.3091781024,2768223.1082494343,U119066,304128.2036436572,2768273.853790149
2,U101008,303900.3091781024,2768223.1082494343,U119069,304404.09539726644,2768183.0122685987
1,U101008,303900.3091781024,2768223.1082494343,U119075,304495.30130300473,2767836.6746926173
6,U101008,303900.3091781024,2768223.1082494343,U119077,304096.06848404446,2767977.9787600175
1,U101008,303900.3091781024,2768223.1082494343,U119079,303950.5628750776,2767764.7313586273
2,U101008,303900.3091781024,2768223.1082494343,U119083,304344.041751931,2768056.4990195655
1,U101008,303900.3091781024,2768223.1082494343,U119086,304427.48961921706,2767884.03441135
143,U101008,303900.3091781024,2768223.1082494343,U119090,304086.01224370755,2768223.841658546
702,U101009,303877.6899384621,2768072.376047655,U101010,303854.83456431865,2767981.457124649
27,U101009,303877.6899384621,2768072.376047655,U101014,303695.12999886007,2767784.7716361065
136,U101009,303877.6899384621,2768072.376047655,U101020,303802.49420281,2768201.6772384467
3,U101009,303877.6899384621,2768072.376047655,U101021,304046.8063142145,2767418.4110351936
24,U101009,303877.6899384621,2768072.376047655,U101022,303934.30927015166,2767535.379785875
1,U101009,303877.6899384621,2768072.376047655,U101023,304160.46812386403,2767262.6793895843
2,U101009,303877.6899384621,2768072.376047655,U101038,304785.47565774847,2768214.4423564468
1,U101009,303877.6899384621,2768072.376047655,U101039,304580.5831346477,2768216.945838149
8,U101009,303877.6899384621,2768072.376047655,U101040,304120.86262069363,2768343.6079418934
28,U101009,303877.6899384621,2768072.376047655,U101041,303967.4658199644,2768340.786180201
14,U101009,303877.6899384621,2768072.376047655,U101094,303655.7172019829,2768311.8673206996
26,U101009,303877.6899384621,2768072.376047655,U101181,303869.45185604505,2767601.5842635278
143,U101009,303877.6899384621,2768072.376047655,U101184,303828.23826356273,2767815.2020408446
9,U101009,303877.6899384621,2768072.376047655,U101185,303902.66000249493,2768394.8063203176
3,U101009,303877.6899384621,2768072.376047655,U101209,304653.2629303035,2768213.9131795364
2,U101009,303877.6899384621,2768072.376047655,U101216,304102.48575776024,2768396.703368487
1,U101009,303877.6899384621,2768072.376047655,U106002,303684.90135321347,2767510.805075624
4,U101009,303877.6899384621,2768072.376047655,U106003,303933.87012367585,2767493.175877421
6,U101009,303877.6899384621,2768072.376047655,U106004,303878.52616485825,2767552.7718251296
2,U101009,303877.6899384621,2768072.376047655,U119044,304258.6614724658,2767444.726314164
337,U101009,303877.6899384621,2768072.376047655,U119045,303898.4734739493,2767920.707275566
1,U101009,303877.6899384621,2768072.376047655,U119046,304172.09304415,2767385.6766714025
5,U101009,303877.6899384621,2768072.376047655,U119047,304342.8992766746,2767836.0681499476
10,U101009,303877.6899384621,2768072.376047655,U119048,303932.04602679855,2767597.400309477
18,U101009,303877.6899384621,2768072.376047655,U119049,304400.6621605508,2768031.2477738545
36,U101009,303877.6899384621,2768072.376047655,U119050,304257.745746599,2767929.8819174194
7,U101009,303877.6899384621,2768072.376047655,U119052,304559.4712443352,2767943.2669394603
5,U101009,303877.6899384621,2768072.376047655,U119053,304279.8069850875,2768220.17903347
1,U101009,303877.6899384621,2768072.376047655,U119054,304539.92383030953,2768036.233267107
73,U101009,303877.6899384621,2768072.376047655,U119055,304081.35434119095,2767870.4766107467
12,U101009,303877.6899384621,2768072.376047655,U119056,304031.6167940712,2767686.406888939
11,U101009,303877.6899384621,2768072.376047655,U119057,304216.146611313,2767730.336376061
16,U101009,303877.6899384621,2768072.376047655,U119058,304078.516526145,2768077.59959358
7,U101009,303877.6899384621,2768072.376047655,U119059,304290.13719641976,2767651.9854011023
4,U101009,303877.6899384621,2768072.376047655,U119060,304285.2182209214,2767619.843458284
7,U101009,303877.6899384621,2768072.376047655,U119061,304285.4600585135,2767558.9226009357
1,U101009,303877.6899384621,2768072.376047655,U119062,304298.30176388286,2767375.100486231
3,U101009,303877.6899384621,2768072.376047655,U119063,304132.6515840725,2767660.2224196363
8,U101009,303877.6899384621,2768072.376047655,U119065,304070.6639647796,2767766.313414839
